date,district,crop,temperature_C,precip_mm,wind_m_s,solar_rad_MJ_m2,ETo_mm,generated_irrigated,real_soil_moisture_mm
2015-01-01,Baghpat,Wheat,15.54,0.0,1.14,7.78,2.1419737109804857,0.0,222.8580262890195
2015-01-02,Baghpat,Wheat,16.4,4.1,1.06,3.06,2.1401071130444476,0.0,224.81791917597505
2015-01-03,Baghpat,Wheat,14.3,11.06,1.0,4.97,2.0141077027512044,0.0,225.0
2015-01-04,Baghpat,Wheat,13.26,0.04,2.46,7.59,2.002748730893833,0.0,223.03725126910615
2015-01-05,Baghpat,Wheat,12.96,0.03,4.19,12.95,2.1679426786077385,0.0,220.8993085904984
2015-01-06,Baghpat,Wheat,13.06,0.0,2.56,9.12,2.053721080301593,0.0,218.84558751019682
2015-01-07,Baghpat,Wheat,12.35,0.0,2.11,6.11,1.9157296284682914,0.0,216.92985788172854
2015-01-08,Baghpat,Wheat,11.89,0.0,2.17,5.62,1.8932888863908526,0.0,215.0365689953377
2015-01-09,Baghpat,Wheat,11.12,0.0,1.77,7.19,1.8793545162842626,0.0,213.15721447905344
2015-01-10,Baghpat,Wheat,10.92,0.0,2.41,11.09,1.9971224393848959,0.0,211.16009203966854
2015-01-11,Baghpat,Wheat,11.67,0.0,2.25,8.26,1.9644183821130587,0.0,209.1956736575555
2015-01-12,Baghpat,Wheat,12.05,0.0,1.67,7.91,1.9852308553957616,0.0,207.21044280215972
2015-01-13,Baghpat,Wheat,12.23,0.0,1.57,9.49,2.057971329817261,0.0,205.15247147234246
2015-01-14,Baghpat,Wheat,11.24,2.34,1.53,4.77,1.8987290759845032,0.0,205.59374239635795
2015-01-15,Baghpat,Wheat,11.57,0.0,1.61,9.94,2.0431890519297884,0.0,203.55055334442815
2015-01-16,Baghpat,Wheat,12.7,0.0,1.55,11.06,2.1677454317786644,0.0,201.3828079126495
2015-01-17,Baghpat,Wheat,13.29,0.0,2.23,11.38,2.2296110647626115,0.0,199.15319684788687
2015-01-18,Baghpat,Wheat,12.8,0.0,2.13,10.6,2.177945370579221,0.0,196.97525147730767
2015-01-19,Baghpat,Wheat,12.82,0.0,1.66,8.79,2.127639002356308,0.0,194.84761247495135
2015-01-20,Baghpat,Wheat,12.04,0.0,1.14,7.37,2.0348659066378803,0.0,192.81274656831346
2015-01-21,Baghpat,Wheat,13.47,2.61,1.34,8.36,2.1780281865554634,0.0,193.24471838175802
2015-01-22,Baghpat,Wheat,12.27,6.15,1.42,1.79,2.0492456466991236,0.0,197.3454727350589
